"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"2","3.54","KEGG_PATHWAY","Prion disease","4","9","275","9375","44.44","1.25e-3","4.43e-3","15.15","2.06e-1","2.36e-3","8.13e-5","IL6,CASP3,TNF,MAPK3","hsa05020:Prion disease"
"2","3.54","KEGG_PATHWAY","Inflammatory bowel disease","3","9","66","9375","33.33","1.33e-3","4.62e-3","47.35","2.17e-1","2.46e-3","2.72e-5","IL6,JUN,TNF","hsa05321:Inflammatory bowel disease"
"2","3.54","KEGG_PATHWAY","Fc epsilon RI signaling pathway","3","9","69","9375","33.33","1.45e-3","4.95e-3","45.29","2.35e-1","2.64e-3","3.11e-5","AKT1,TNF,MAPK3","hsa04664:Fc epsilon RI signaling pathway"
"2","3.54","KEGG_PATHWAY","Renal cell carcinoma","3","9","70","9375","33.33","1.49e-3","5.00e-3","44.64","2.41e-1","2.66e-3","3.24e-5","JUN,AKT1,MAPK3","hsa05211:Renal cell carcinoma"
"2","3.54","KEGG_PATHWAY","Central carbon metabolism in cancer","3","9","71","9375","33.33","1.54e-3","5.05e-3","44.01","2.47e-1","2.69e-3","3.38e-5","AKT1,TP53,MAPK3","hsa05230:Central carbon metabolism in cancer"
"2","3.54","KEGG_PATHWAY","Melanoma","3","9","73","9375","33.33","1.62e-3","5.15e-3","42.81","2.59e-1","2.74e-3","3.68e-5","AKT1,TP53,MAPK3","hsa05218:Melanoma"
"2","3.54","KEGG_PATHWAY","Non-small cell lung cancer","3","9","73","9375","33.33","1.62e-3","5.15e-3","42.81","2.59e-1","2.74e-3","3.68e-5","AKT1,TP53,MAPK3","hsa05223:Non-small cell lung cancer"
"2","3.54","KEGG_PATHWAY","Glioma","3","9","76","9375","33.33","1.76e-3","5.45e-3","41.12","2.77e-1","2.90e-3","4.15e-5","AKT1,TP53,MAPK3","hsa05214:Glioma"
"2","3.54","KEGG_PATHWAY","Pancreatic cancer","3","9","77","9375","33.33","1.81e-3","5.45e-3","40.58","2.83e-1","2.90e-3","4.32e-5","AKT1,TP53,MAPK3","hsa05212:Pancreatic cancer"
"2","3.54","KEGG_PATHWAY","Chronic myeloid leukemia","3","9","77","9375","33.33","1.81e-3","5.45e-3","40.58","2.83e-1","2.90e-3","4.32e-5","AKT1,TP53,MAPK3","hsa05220:Chronic myeloid leukemia"
