Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,
GOTERM_BP_DIRECT,response to glucocorticoid,3,9,56,19172,2.32e-4,1.33e-2,114.12,1.36e-1,1.24e-2,1.96e-6,GO:0051384~response to glucocorticoid,"IL6,CASP3,TNF",
GOTERM_BP_DIRECT,positive regulation of apoptotic process,4,9,330,19172,2.65e-4,1.39e-2,25.82,1.54e-1,1.30e-2,1.01e-5,GO:0043065~positive regulation of apoptotic process,"IL6,CASP3,TNF,TP53",
GOTERM_BP_DIRECT,positive regulation of neuron apoptotic process,3,9,67,19172,3.32e-4,1.61e-2,95.38,1.89e-1,1.50e-2,3.38e-6,GO:0043525~positive regulation of neuron apoptotic process,"CASP3,TNF,TP53",
GOTERM_BP_DIRECT,neuron apoptotic process,3,9,93,19172,6.40e-4,2.87e-2,68.72,3.31e-1,2.69e-2,9.09e-6,GO:0051402~neuron apoptotic process,"CASP3,TNF,TP53",
GOTERM_BP_DIRECT,positive regulation of gene expression,4,9,499,19172,8.90e-4,3.73e-2,17.08,4.29e-1,3.49e-2,5.15e-5,GO:0010628~positive regulation of gene expression,"IL6,AKT1,TNF,TP53",
GOTERM_BP_DIRECT,positive regulation of fever generation,2,9,4,19172,1.67e-3,6.56e-2,1065.11,6.50e-1,6.13e-2,1.17e-6,GO:0031622~positive regulation of fever generation,"PTGS2,TNF",
GOTERM_BP_DIRECT,response to oxidative stress,3,9,176,19172,2.26e-3,7.49e-2,36.31,7.59e-1,7.00e-2,6.13e-5,GO:0006979~response to oxidative stress,"AKT1,PTGS2,TP53",
GOTERM_BP_DIRECT,apoptotic process,4,9,699,19172,2.36e-3,7.49e-2,12.19,7.73e-1,7.00e-2,1.91e-4,GO:0006915~apoptotic process,"JUN,CASP3,TP53,MAPK3",
GOTERM_BP_DIRECT,positive regulation of apoptotic DNA fragmentation,2,9,6,19172,2.50e-3,7.49e-2,710.07,7.93e-1,7.00e-2,2.94e-6,GO:1902512~positive regulation of apoptotic DNA fragmentation,"IL6,CASP3",
GOTERM_BP_DIRECT,vascular endothelial growth factor production,2,9,6,19172,2.50e-3,7.49e-2,710.07,7.93e-1,7.00e-2,2.94e-6,GO:0010573~vascular endothelial growth factor production,"IL6,TNF",
GOTERM_BP_DIRECT,response to insulin-like growth factor stimulus,2,9,6,19172,2.50e-3,7.49e-2,710.07,7.93e-1,7.00e-2,2.94e-6,GO:1990418~response to insulin-like growth factor stimulus,"CASP3,AKT1",
GOTERM_BP_DIRECT,inflammatory response to wounding,2,9,7,19172,2.92e-3,8.34e-2,608.63,8.41e-1,7.80e-2,4.11e-6,GO:0090594~inflammatory response to wounding,"IL6,TNF",
GOTERM_BP_DIRECT,positive regulation of DNA-templated transcription,4,9,768,19172,3.08e-3,8.39e-2,11.09,8.57e-1,7.84e-2,2.74e-4,GO:0045893~positive regulation of DNA-templated transcription,"IL6,JUN,TNF,TP53",
GOTERM_BP_DIRECT,positive regulation of ERK1 and ERK2 cascade,3,9,210,19172,3.20e-3,8.39e-2,30.43,8.67e-1,7.84e-2,1.04e-4,GO:0070374~positive regulation of ERK1 and ERK2 cascade,"JUN,TNF,MAPK3",
GOTERM_BP_DIRECT,response to salt stress,2,9,9,19172,3.75e-3,9.43e-2,473.38,9.06e-1,8.82e-2,7.04e-6,GO:0009651~response to salt stress,"TNF,TP53",
GOTERM_BP_DIRECT,regulation of neuroinflammatory response,2,9,10,19172,4.17e-3,1.01e-1,426.04,9.28e-1,9.42e-2,8.80e-6,GO:0150077~regulation of neuroinflammatory response,"IL6,PTGS2",
GOTERM_BP_DIRECT,negative regulation of lipid storage,2,9,12,19172,5.00e-3,1.16e-1,355.04,9.57e-1,1.09e-1,1.29e-5,GO:0010888~negative regulation of lipid storage,"IL6,TNF",
GOTERM_BP_DIRECT,positive regulation of leukocyte adhesion to vascular endothelial cell,2,9,14,19172,5.83e-3,1.26e-1,304.32,9.75e-1,1.18e-1,1.78e-5,GO:1904996~positive regulation of leukocyte adhesion to vascular endothelial cell,"IL6,TNF",
GOTERM_BP_DIRECT,phosphorylation,2,9,14,19172,5.83e-3,1.26e-1,304.32,9.75e-1,1.18e-1,1.78e-5,GO:0016310~phosphorylation,"AKT1,MAPK3",
GOTERM_BP_DIRECT,striated muscle cell differentiation,2,9,16,19172,6.66e-3,1.40e-1,266.28,9.85e-1,1.30e-1,2.34e-5,GO:0051146~striated muscle cell differentiation,"CASP3,AKT1",
GOTERM_BP_DIRECT,response to X-ray,2,9,19,19172,7.90e-3,1.60e-1,224.23,9.93e-1,1.50e-1,3.34e-5,GO:0010165~response to X-ray,"CASP3,TP53",
GOTERM_BP_DIRECT,positive regulation of peptidyl-serine phosphorylation,2,9,20,19172,8.32e-3,1.62e-1,213.02,9.95e-1,1.51e-1,3.71e-5,GO:0033138~positive regulation of peptidyl-serine phosphorylation,"IL6,AKT1",
GOTERM_BP_DIRECT,DNA damage response,3,9,351,19172,8.70e-3,1.62e-1,18.21,9.96e-1,1.51e-1,4.71e-4,GO:0006974~DNA damage response,"CASP3,TP53,MAPK3",
GOTERM_BP_DIRECT,execution phase of apoptosis,2,9,21,19172,8.73e-3,1.62e-1,202.88,9.96e-1,1.51e-1,4.09e-5,GO:0097194~execution phase of apoptosis,"CASP3,AKT1",
GOTERM_BP_DIRECT,positive regulation of glial cell proliferation,2,9,22,19172,9.14e-3,1.64e-1,193.66,9.97e-1,1.54e-1,4.50e-5,GO:0060252~positive regulation of glial cell proliferation,"IL6,TNF",
GOTERM_BP_DIRECT,response to antibiotic,2,9,24,19172,9.97e-3,1.65e-1,177.52,9.98e-1,1.54e-1,5.38e-5,GO:0046677~response to antibiotic,"TNF,TP53",
GOTERM_BP_DIRECT,positive regulation of amyloid-beta formation,2,9,24,19172,9.97e-3,1.65e-1,177.52,9.98e-1,1.54e-1,5.38e-5,GO:1902004~positive regulation of amyloid-beta formation,"CASP3,TNF",
GOTERM_BP_DIRECT,positive regulation of protein localization to cell surface,2,9,24,19172,9.97e-3,1.65e-1,177.52,9.98e-1,1.54e-1,5.38e-5,GO:2000010~positive regulation of protein localization to cell surface,"AKT1,TNF",
GOTERM_BP_DIRECT,microglial cell activation,2,9,28,19172,1.16e-2,1.88e-1,152.16,9.99e-1,1.75e-1,7.36e-5,GO:0001774~microglial cell activation,"JUN,TNF",
GOTERM_BP_DIRECT,negative regulation of neurogenesis,2,9,30,19172,1.25e-2,1.91e-1,142.01,1.00e+0,1.79e-1,8.46e-5,GO:0050768~negative regulation of neurogenesis,"IL6,TNF",
GOTERM_BP_DIRECT,liver regeneration,2,9,31,19172,1.29e-2,1.91e-1,137.43,1.00e+0,1.79e-1,9.04e-5,GO:0097421~liver regeneration,"IL6,TNF",
GOTERM_BP_DIRECT,positive regulation of vascular endothelial growth factor production,2,9,32,19172,1.33e-2,1.91e-1,133.14,1.00e+0,1.79e-1,9.65e-5,GO:0010575~positive regulation of vascular endothelial growth factor production,"IL6,PTGS2",
GOTERM_BP_DIRECT,positive regulation of immunoglobulin production,2,9,32,19172,1.33e-2,1.91e-1,133.14,1.00e+0,1.79e-1,9.65e-5,GO:0002639~positive regulation of immunoglobulin production,"IL6,TNF",
GOTERM_BP_DIRECT,negative regulation of proteolysis,2,9,33,19172,1.37e-2,1.91e-1,129.1,1.00e+0,1.79e-1,1.03e-4,GO:0045861~negative regulation of proteolysis,"AKT1,TP53",
GOTERM_BP_DIRECT,insulin-like growth factor receptor signaling pathway,2,9,33,19172,1.37e-2,1.91e-1,129.1,1.00e+0,1.79e-1,1.03e-4,GO:0048009~insulin-like growth factor receptor signaling pathway,"AKT1,MAPK3",
GOTERM_BP_DIRECT,inflammatory response,3,9,466,19172,1.50e-2,2.05e-1,13.71,1.00e+0,1.91e-1,1.07e-3,GO:0006954~inflammatory response,"IL6,AKT1,TNF",
GOTERM_BP_DIRECT,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,2,9,38,19172,1.57e-2,2.11e-1,112.12,1.00e+0,1.97e-1,1.37e-4,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,"AKT1,TNF",
GOTERM_BP_DIRECT,positive regulation of cytokine production involved in inflammatory response,2,9,41,19172,1.70e-2,2.23e-1,103.91,1.00e+0,2.08e-1,1.59e-4,GO:1900017~positive regulation of cytokine production involved in inflammatory response,"IL6,TNF",
GOTERM_BP_DIRECT,cellular response to ionizing radiation,2,9,43,19172,1.78e-2,2.25e-1,99.08,1.00e+0,2.11e-1,1.75e-4,GO:0071479~cellular response to ionizing radiation,"TNF,TP53",
GOTERM_BP_DIRECT,intracellular signal transduction,3,9,512,19172,1.79e-2,2.25e-1,12.48,1.00e+0,2.11e-1,1.41e-3,GO:0035556~intracellular signal transduction,"CASP3,AKT1,MAPK3",
GOTERM_BP_DIRECT,regulation of insulin secretion,2,9,46,19172,1.90e-2,2.35e-1,92.62,1.00e+0,2.19e-1,2.01e-4,GO:0050796~regulation of insulin secretion,"IL6,TNF",
GOTERM_BP_DIRECT,intrinsic apoptotic signaling pathway,2,9,49,19172,2.03e-2,2.36e-1,86.95,1.00e+0,2.21e-1,2.28e-4,GO:0097193~intrinsic apoptotic signaling pathway,"CASP3,TP53",
GOTERM_BP_DIRECT,response to UV,2,9,49,19172,2.03e-2,2.36e-1,86.95,1.00e+0,2.21e-1,2.28e-4,GO:0009411~response to UV,"CASP3,TP53",
GOTERM_BP_DIRECT,positive regulation of chemokine production,2,9,49,19172,2.03e-2,2.36e-1,86.95,1.00e+0,2.21e-1,2.28e-4,GO:0032722~positive regulation of chemokine production,"IL6,TNF",
GOTERM_BP_DIRECT,response to activity,2,9,51,19172,2.11e-2,2.41e-1,83.54,1.00e+0,2.25e-1,2.47e-4,GO:0014823~response to activity,"IL6,TNF",
GOTERM_BP_DIRECT,positive regulation of vascular associated smooth muscle cell proliferation,2,9,54,19172,2.23e-2,2.51e-1,78.9,1.00e+0,2.34e-1,2.77e-4,GO:1904707~positive regulation of vascular associated smooth muscle cell proliferation,"JUN,TNF",
GOTERM_BP_DIRECT,negative regulation of fat cell differentiation,2,9,59,19172,2.44e-2,2.60e-1,72.21,1.00e+0,2.43e-1,3.31e-4,GO:0045599~negative regulation of fat cell differentiation,"IL6,TNF",
GOTERM_BP_DIRECT,positive regulation of protein localization to plasma membrane,2,9,59,19172,2.44e-2,2.60e-1,72.21,1.00e+0,2.43e-1,3.31e-4,GO:1903078~positive regulation of protein localization to plasma membrane,"AKT1,TNF",
GOTERM_BP_DIRECT,humoral immune response,2,9,60,19172,2.48e-2,2.60e-1,71.01,1.00e+0,2.43e-1,3.42e-4,GO:0006959~humoral immune response,"IL6,TNF",
GOTERM_BP_DIRECT,tumor necrosis factor-mediated signaling pathway,2,9,60,19172,2.48e-2,2.60e-1,71.01,1.00e+0,2.43e-1,3.42e-4,GO:0033209~tumor necrosis factor-mediated signaling pathway,"TNF,TP53",
GOTERM_BP_DIRECT,JNK cascade,2,9,63,19172,2.60e-2,2.68e-1,67.63,1.00e+0,2.51e-1,3.77e-4,GO:0007254~JNK cascade,"JUN,TNF",
GOTERM_BP_DIRECT,positive regulation of interleukin-1 beta production,2,9,68,19172,2.80e-2,2.76e-1,62.65,1.00e+0,2.58e-1,4.39e-4,GO:0032731~positive regulation of interleukin-1 beta production,"IL6,TNF",
GOTERM_BP_DIRECT,positive regulation of interleukin-8 production,2,9,68,19172,2.80e-2,2.76e-1,62.65,1.00e+0,2.58e-1,4.39e-4,GO:0032757~positive regulation of interleukin-8 production,"IL6,TNF",
GOTERM_BP_DIRECT,glucose metabolic process,2,9,69,19172,2.84e-2,2.76e-1,61.75,1.00e+0,2.58e-1,4.52e-4,GO:0006006~glucose metabolic process,"AKT1,TNF",
GOTERM_BP_DIRECT,negative regulation of DNA-templated transcription,3,9,656,19172,2.85e-2,2.76e-1,9.74,1.00e+0,2.58e-1,2.87e-3,GO:0045892~negative regulation of DNA-templated transcription,"JUN,TNF,TP53",
GOTERM_BP_DIRECT,positive regulation of endothelial cell proliferation,2,9,71,19172,2.93e-2,2.78e-1,60.01,1.00e+0,2.60e-1,4.79e-4,GO:0001938~positive regulation of endothelial cell proliferation,"JUN,AKT1",
GOTERM_BP_DIRECT,epidermal growth factor receptor signaling pathway,2,9,72,19172,2.97e-2,2.78e-1,59.17,1.00e+0,2.60e-1,4.92e-4,GO:0007173~epidermal growth factor receptor signaling pathway,"AKT1,MAPK3",
GOTERM_BP_DIRECT,insulin receptor signaling pathway,2,9,74,19172,3.05e-2,2.82e-1,57.57,1.00e+0,2.63e-1,5.20e-4,GO:0008286~insulin receptor signaling pathway,"AKT1,MAPK3",
GOTERM_BP_DIRECT,apoptotic signaling pathway,2,9,80,19172,3.29e-2,2.99e-1,53.26,1.00e+0,2.80e-1,6.07e-4,GO:0097190~apoptotic signaling pathway,"CASP3,TP53",
GOTERM_BP_DIRECT,cell surface receptor signaling pathway via JAK-STAT,2,9,81,19172,3.33e-2,2.99e-1,52.6,1.00e+0,2.80e-1,6.23e-4,GO:0007259~cell surface receptor signaling pathway via JAK-STAT,"IL6,TNF",
GOTERM_BP_DIRECT,phosphatidylinositol 3-kinase/protein kinase B signal transduction,2,9,84,19172,3.45e-2,3.05e-1,50.72,1.00e+0,2.85e-1,6.69e-4,GO:0043491~phosphatidylinositol 3-kinase/protein kinase B signal transduction,"AKT1,TNF",
GOTERM_BP_DIRECT,circadian rhythm,2,9,85,19172,3.49e-2,3.05e-1,50.12,1.00e+0,2.85e-1,6.85e-4,GO:0007623~circadian rhythm,"TNF,TP53",
GOTERM_BP_DIRECT,cellular response to tumor necrosis factor,2,9,103,19172,4.22e-2,3.62e-1,41.36,1.00e+0,3.38e-1,1.00e-3,GO:0071356~cellular response to tumor necrosis factor,"AKT1,MAPK3",
GOTERM_BP_DIRECT,positive regulation of interleukin-6 production,2,9,104,19172,4.26e-2,3.62e-1,40.97,1.00e+0,3.38e-1,1.02e-3,GO:0032755~positive regulation of interleukin-6 production,"IL6,TNF",
GOTERM_BP_DIRECT,transforming growth factor beta receptor signaling pathway,2,9,109,19172,4.46e-2,3.74e-1,39.09,1.00e+0,3.50e-1,1.12e-3,GO:0007179~transforming growth factor beta receptor signaling pathway,"JUN,TP53",
GOTERM_BP_DIRECT,protein import into nucleus,2,9,116,19172,4.74e-2,3.92e-1,36.73,1.00e+0,3.67e-1,1.27e-3,GO:0006606~protein import into nucleus,"AKT1,TP53",
GOTERM_BP_DIRECT,modulation of chemical synaptic transmission,2,9,120,19172,4.90e-2,4.00e-1,35.5,1.00e+0,3.74e-1,1.36e-3,GO:0050804~modulation of chemical synaptic transmission,"TNF,MAPK3",
GOTERM_BP_DIRECT,response to ethanol,2,9,128,19172,5.22e-2,4.21e-1,33.28,1.00e+0,3.93e-1,1.54e-3,GO:0045471~response to ethanol,"CASP3,TNF",
GOTERM_BP_DIRECT,glucose homeostasis,2,9,132,19172,5.38e-2,4.28e-1,32.28,1.00e+0,4.00e-1,1.64e-3,GO:0042593~glucose homeostasis,"IL6,AKT1",
GOTERM_BP_DIRECT,cellular response to hypoxia,2,9,144,19172,5.85e-2,4.55e-1,29.59,1.00e+0,4.25e-1,1.95e-3,GO:0071456~cellular response to hypoxia,"PTGS2,TP53",
GOTERM_BP_DIRECT,defense response to Gram-positive bacterium,2,9,144,19172,5.85e-2,4.55e-1,29.59,1.00e+0,4.25e-1,1.95e-3,GO:0050830~defense response to Gram-positive bacterium,"IL6,TNF",
GOTERM_BP_DIRECT,response to lipopolysaccharide,2,9,147,19172,5.97e-2,4.58e-1,28.98,1.00e+0,4.28e-1,2.03e-3,GO:0032496~response to lipopolysaccharide,"CASP3,TNF",
GOTERM_BP_DIRECT,cytokine-mediated signaling pathway,2,9,153,19172,6.21e-2,4.71e-1,27.85,1.00e+0,4.40e-1,2.20e-3,GO:0019221~cytokine-mediated signaling pathway,"IL6,AKT1",
GOTERM_BP_DIRECT,extracellular matrix organization,2,9,159,19172,6.45e-2,4.83e-1,26.8,1.00e+0,4.51e-1,2.37e-3,GO:0030198~extracellular matrix organization,"COL18A1,TNF",
GOTERM_BP_DIRECT,cell population proliferation,2,9,174,19172,7.04e-2,5.19e-1,24.49,1.00e+0,4.86e-1,2.83e-3,GO:0008283~cell population proliferation,"JUN,AKT1",
GOTERM_BP_DIRECT,negative regulation of transcription by RNA polymerase II,3,9,1082,19172,7.10e-2,5.19e-1,5.91,1.00e+0,4.86e-1,1.16e-2,GO:0000122~negative regulation of transcription by RNA polymerase II,"JUN,TNF,TP53",
GOTERM_BP_DIRECT,response to hypoxia,2,9,180,19172,7.27e-2,5.26e-1,23.67,1.00e+0,4.91e-1,3.02e-3,GO:0001666~response to hypoxia,"CASP3,TNF",
GOTERM_BP_DIRECT,cellular response to lipopolysaccharide,2,9,189,19172,7.62e-2,5.45e-1,22.54,1.00e+0,5.09e-1,3.33e-3,GO:0071222~cellular response to lipopolysaccharide,"IL6,TNF",
GOTERM_BP_DIRECT,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,2,9,215,19172,8.63e-2,6.10e-1,19.82,1.00e+0,5.70e-1,4.28e-3,GO:0051897~positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,"AKT1,TNF",
GOTERM_BP_DIRECT,positive regulation of MAPK cascade,2,9,227,19172,9.09e-2,6.35e-1,18.77,1.00e+0,5.94e-1,4.76e-3,GO:0043410~positive regulation of MAPK cascade,"IL6,TNF",
GOTERM_BP_DIRECT,protein phosphorylation,2,9,245,19172,9.78e-2,6.76e-1,17.39,1.00e+0,6.32e-1,5.52e-3,GO:0006468~protein phosphorylation,"AKT1,MAPK3",
